 time            v(uio_in_0)     v(analog_0)     v(analog_1)     v(analog_2)    
 8.15982901e-05  1.50000000e+00  7.54905294e-01  4.02812818e-01  2.76838761e-06 
 8.25982901e-05  1.50000000e+00  7.54959950e-01  4.01823933e-01  2.76838761e-06 
 8.35982901e-05  1.50000000e+00  7.55014410e-01  4.00847653e-01  2.76838761e-06 
 8.45982901e-05  1.50000000e+00  7.55068673e-01  3.99883814e-01  2.76838761e-06 
 8.55982901e-05  1.50000000e+00  7.55122735e-01  3.98932255e-01  2.76838761e-06 
 8.65982901e-05  1.50000000e+00  7.55176595e-01  3.97992817e-01  2.76838761e-06 
 8.75982901e-05  1.50000000e+00  7.55230250e-01  3.97065342e-01  2.76838761e-06 
 8.85982901e-05  1.50000000e+00  7.55283699e-01  3.96149673e-01  2.76838761e-06 
 8.95982901e-05  1.50000000e+00  7.55336940e-01  3.95245653e-01  2.76838761e-06 
 9.05982901e-05  1.50000000e+00  7.55389970e-01  3.94353130e-01  2.76838761e-06 
 9.15982901e-05  1.50000000e+00  7.55442787e-01  3.93471951e-01  2.76838761e-06 
 9.25982901e-05  1.50000000e+00  7.55495389e-01  3.92601965e-01  2.76838761e-06 
 9.35982901e-05  1.50000000e+00  7.55547774e-01  3.91743025e-01  2.76838761e-06 
 9.45982901e-05  1.50000000e+00  7.55599940e-01  3.90894982e-01  2.76838761e-06 
 9.55982901e-05  1.50000000e+00  7.55651885e-01  3.90057692e-01  2.76838761e-06 
 9.65982901e-05  1.50000000e+00  7.55703607e-01  3.89231012e-01  2.76838761e-06 
 9.75982901e-05  1.50000000e+00  7.55755104e-01  3.88414800e-01  2.76838761e-06 
 9.85982901e-05  1.50000000e+00  7.55806374e-01  3.87608918e-01  2.76838761e-06 
 9.95982901e-05  1.50000000e+00  7.55857414e-01  3.86813226e-01  2.76838761e-06 
 1.00598290e-04  1.50000000e+00  7.55908223e-01  3.86027591e-01  2.76838761e-06 
 1.01598290e-04  1.50000000e+00  7.55958799e-01  3.85251878e-01  2.76838761e-06 
 1.02598290e-04  1.50000000e+00  7.56009140e-01  3.84485957e-01  2.76838761e-06 
 1.03598290e-04  1.50000000e+00  7.56059243e-01  3.83729697e-01  2.76838761e-06 
 1.04598290e-04  1.50000000e+00  7.56109107e-01  3.82982971e-01  2.76838761e-06 
 1.05598290e-04  1.50000000e+00  7.56158730e-01  3.82245654e-01  2.76838761e-06 
 1.06598290e-04  1.50000000e+00  7.56208110e-01  3.81517622e-01  2.76838761e-06 
 1.07598290e-04  1.50000000e+00  7.56257245e-01  3.80798754e-01  2.76838761e-06 
 1.08598290e-04  1.50000000e+00  7.56306133e-01  3.80088930e-01  2.76838761e-06 
 1.09598290e-04  1.50000000e+00  7.56354772e-01  3.79388034e-01  2.76838761e-06 
 1.10598290e-04  1.50000000e+00  7.56403160e-01  3.78695949e-01  2.76838761e-06 
 1.11598290e-04  1.50000000e+00  7.56451295e-01  3.78012562e-01  2.76838761e-06 
 1.12598290e-04  1.50000000e+00  7.56499175e-01  3.77337762e-01  2.76838761e-06 
 1.13598290e-04  1.50000000e+00  7.56546799e-01  3.76671438e-01  2.76838761e-06 
 1.14598290e-04  1.50000000e+00  7.56594165e-01  3.76013484e-01  2.76838761e-06 
 1.15598290e-04  1.50000000e+00  7.56641270e-01  3.75363794e-01  2.76838761e-06 
 1.16598290e-04  1.50000000e+00  7.56688113e-01  3.74722263e-01  2.76838761e-06 
 1.17598290e-04  1.50000000e+00  7.56734692e-01  3.74088790e-01  2.76838761e-06 
 1.18598290e-04  1.50000000e+00  7.56781005e-01  3.73463275e-01  2.76838761e-06 
 1.19598290e-04  1.50000000e+00  7.56827050e-01  3.72845619e-01  2.76838761e-06 
 1.20598290e-04  1.50000000e+00  7.56872826e-01  3.72235726e-01  2.76838761e-06 
 1.21598290e-04  1.50000000e+00  7.56918330e-01  3.71633501e-01  2.76838761e-06 
 1.22598290e-04  1.50000000e+00  7.56963562e-01  3.71038851e-01  2.76838761e-06 
 1.23598290e-04  1.50000000e+00  7.57008518e-01  3.70451686e-01  2.76838761e-06 
 1.24598290e-04  1.50000000e+00  7.57053198e-01  3.69871915e-01  2.76838761e-06 
 1.25598290e-04  1.50000000e+00  7.57097599e-01  3.69299450e-01  2.76838761e-06 
 1.26598290e-04  1.50000000e+00  7.57141720e-01  3.68734207e-01  2.76838761e-06 
 1.27598290e-04  1.50000000e+00  7.57185559e-01  3.68176099e-01  2.76838761e-06 
 1.28598290e-04  1.50000000e+00  7.57229115e-01  3.67625045e-01  2.76838761e-06 
 1.29598290e-04  1.50000000e+00  7.57272385e-01  3.67080964e-01  2.76838761e-06 
 1.30598290e-04  1.50000000e+00  7.57315368e-01  3.66543774e-01  2.76838761e-06 
 1.31598290e-04  1.50000000e+00  7.57358062e-01  3.66013399e-01  2.76838761e-06 
 1.32598290e-04  1.50000000e+00  7.57400466e-01  3.65489761e-01  2.76838761e-06 
 1.33598290e-04  1.50000000e+00  7.57442577e-01  3.64972786e-01  2.76838761e-06 
 1.34598290e-04  1.50000000e+00  7.57484395e-01  3.64462399e-01  2.76838761e-06 
 1.35598290e-04  1.50000000e+00  7.57525917e-01  3.63958529e-01  2.76838761e-06 
 1.36598290e-04  1.50000000e+00  7.57567143e-01  3.63461105e-01  2.76838761e-06 
